Dzień,Liczba zwierząt,Liczba roślin,Liczba wolnych pól,Najpopularniejszy genotyp,Średni poziom energii żyjących zwierząt,Średnia długość życia zwierząt
1,103,115,2091,brak genomu,98,brak martwych
2,107,133,2073,brak genomu,95,brak martwych
3,106,145,2058,brak genomu,95,brak martwych
4,110,158,2046,brak genomu,93,brak martwych
5,106,169,2031,brak genomu,95,brak martwych
6,112,184,2017,brak genomu,91,brak martwych
7,114,201,2000,brak genomu,89,brak martwych
8,116,211,1986,brak genomu,89,brak martwych
9,115,223,1972,brak genomu,88,brak martwych
10,116,237,1958,brak genomu,90,brak martwych
11,117,249,1944,brak genomu,88,brak martwych
12,115,262,1930,brak genomu,89,brak martwych
13,115,272,1919,brak genomu,89,brak martwych
14,115,282,1911,brak genomu,90,brak martwych
15,121,292,1903,brak genomu,89,brak martwych
16,117,303,1886,brak genomu,90,brak martwych
17,120,310,1881,brak genomu,90,brak martwych
18,118,316,1875,brak genomu,91,brak martwych
19,118,320,1870,brak genomu,93,brak martwych
20,121,322,1870,brak genomu,94,brak martwych
21,119,327,1863,brak genomu,96,brak martwych
22,119,335,1854,brak genomu,97,brak martwych
23,119,335,1853,brak genomu,99,brak martwych
24,125,342,1849,brak genomu,98,brak martwych
25,121,348,1838,brak genomu,100,brak martwych
