Dzień,Liczba zwierząt,Liczba roślin,Liczba wolnych pól,Najpopularniejszy genotyp,Średni poziom energii żyjących zwierząt,Średnia długość życia zwierząt
1,106,115,2092,brak genomu,96,brak martwych
2,105,131,2072,brak genomu,96,brak martwych
3,106,145,2057,brak genomu,95,brak martwych
4,107,159,2044,brak genomu,94,brak martwych
5,108,176,2028,brak genomu,93,brak martwych
6,109,189,2014,brak genomu,92,brak martwych
7,116,203,1999,brak genomu,89,brak martwych
8,113,212,1987,brak genomu,90,brak martwych
9,120,221,1978,brak genomu,88,brak martwych
10,120,229,1970,brak genomu,88,brak martwych
11,122,235,1960,brak genomu,88,brak martwych
12,124,241,1950,brak genomu,88,brak martwych
13,123,254,1936,brak genomu,87,brak martwych
14,124,258,1933,brak genomu,88,brak martwych
15,125,266,1923,brak genomu,88,brak martwych
16,135,276,1916,brak genomu,85,brak martwych
17,136,283,1904,brak genomu,86,brak martwych
18,136,288,1892,brak genomu,85,brak martwych
19,138,294,1881,brak genomu,87,brak martwych
20,140,296,1883,brak genomu,85,brak martwych
21,142,299,1875,brak genomu,87,brak martwych
22,141,302,1871,brak genomu,88,brak martwych
23,142,303,1864,brak genomu,87,brak martwych
24,152,306,1873,brak genomu,87,brak martwych
25,144,314,1852,brak genomu,87,brak martwych
26,144,313,1853,brak genomu,89,brak martwych
27,150,316,1851,brak genomu,89,brak martwych
28,149,313,1850,brak genomu,90,brak martwych
29,150,316,1850,brak genomu,91,brak martwych
30,154,322,1843,brak genomu,91,brak martwych
31,159,329,1838,brak genomu,91,brak martwych
32,153,328,1830,brak genomu,92,brak martwych
33,153,330,1829,brak genomu,93,brak martwych
34,165,338,1827,brak genomu,92,brak martwych
35,166,337,1824,brak genomu,94,brak martwych
36,160,335,1821,brak genomu,93,brak martwych
37,163,337,1819,brak genomu,94,brak martwych
38,163,331,1824,brak genomu,97,39
39,167,331,1827,brak genomu,97,39
40,172,325,1831,brak genomu,98,39
41,172,323,1824,brak genomu,97,39
42,177,322,1825,brak genomu,95,39
43,180,324,1822,brak genomu,98,39
44,180,316,1827,brak genomu,97,39
45,179,307,1832,brak genomu,99,39
46,183,304,1837,brak genomu,100,39
47,182,304,1834,brak genomu,101,39
48,201,305,1838,brak genomu,102,39
49,196,296,1838,brak genomu,97,39
50,211,297,1841,brak genomu,95,39
51,200,294,1831,brak genomu,97,39
52,219,296,1833,brak genomu,97,39
53,208,287,1830,brak genomu,95,39
54,209,282,1828,brak genomu,96,39
55,216,285,1825,brak genomu,96,39
56,216,278,1827,brak genomu,96,39
57,233,271,1846,brak genomu,96,39
58,221,266,1839,brak genomu,95,49
59,225,263,1846,brak genomu,95,49
60,230,262,1834,brak genomu,95,49
61,229,257,1836,brak genomu,100,52
62,240,250,1846,brak genomu,95,52
63,254,251,1844,brak genomu,93,52
64,250,243,1849,brak genomu,92,52
65,257,242,1846,brak genomu,94,52
66,253,237,1843,brak genomu,94,52
67,254,234,1836,brak genomu,91,56
68,268,234,1838,brak genomu,93,56
69,253,231,1846,brak genomu,94,64
70,257,229,1846,brak genomu,94,64
71,263,221,1854,brak genomu,94,64
72,273,225,1850,brak genomu,93,64
73,272,219,1855,brak genomu,93,63
74,275,217,1853,brak genomu,90,63
75,275,206,1852,brak genomu,92,63
76,292,198,1867,brak genomu,92,63
77,279,190,1853,brak genomu,91,63
78,289,189,1882,brak genomu,94,66
79,292,186,1874,brak genomu,93,66
80,291,189,1860,brak genomu,91,66
81,300,188,1861,brak genomu,90,66
82,299,185,1855,brak genomu,89,66
83,308,186,1858,brak genomu,86,66
84,318,180,1858,brak genomu,87,66
85,331,174,1863,brak genomu,85,66
86,334,169,1862,brak genomu,83,66
87,331,170,1858,brak genomu,82,65
88,358,174,1853,brak genomu,79,65
89,354,162,1862,brak genomu,81,68
90,349,162,1852,brak genomu,78,68
91,357,162,1851,brak genomu,78,67
92,374,161,1858,brak genomu,78,67
93,363,165,1844,brak genomu,76,67
94,369,164,1837,brak genomu,75,67
95,373,160,1833,brak genomu,75,67
96,392,153,1851,brak genomu,74,67
97,388,151,1831,brak genomu,72,66
98,392,149,1836,brak genomu,72,67
99,403,148,1830,brak genomu,72,67
100,408,150,1839,brak genomu,70,71
101,412,154,1829,brak genomu,69,71
102,422,154,1815,brak genomu,67,71
103,424,153,1809,brak genomu,67,71
104,425,150,1810,brak genomu,67,71
105,423,147,1805,brak genomu,65,71
106,436,148,1806,brak genomu,66,70
107,449,153,1799,brak genomu,64,70
108,448,152,1800,brak genomu,63,71
109,447,146,1808,brak genomu,62,73
110,448,139,1800,brak genomu,62,73
111,460,138,1803,brak genomu,61,73
112,460,133,1804,brak genomu,60,73
113,471,131,1812,brak genomu,60,73
114,480,135,1797,brak genomu,58,73
115,479,132,1787,brak genomu,58,73
116,480,130,1784,brak genomu,57,73
117,478,127,1789,brak genomu,58,73
118,476,127,1802,brak genomu,57,76
119,483,126,1803,brak genomu,57,75
120,483,127,1797,brak genomu,56,76
121,480,127,1789,brak genomu,56,76
