Dzień,Liczba zwierząt,Liczba roślin,Liczba wolnych pól,Najpopularniejszy genotyp,Średni poziom energii żyjących zwierząt,Średnia długość życia zwierząt
1,109,112,2099,brak genomu,96,brak martwych
2,109,129,2080,brak genomu,94,brak martwych
3,111,147,2057,brak genomu,92,brak martwych
4,116,161,2039,brak genomu,89,brak martwych
5,110,169,2028,brak genomu,91,brak martwych
6,113,183,2015,brak genomu,90,brak martwych
7,120,192,2008,brak genomu,88,brak martwych
8,117,203,1991,brak genomu,88,brak martwych
9,124,213,1982,brak genomu,86,brak martwych
10,127,225,1970,brak genomu,84,brak martwych
11,121,229,1961,brak genomu,87,brak martwych
12,121,235,1953,brak genomu,88,brak martwych
13,124,240,1949,brak genomu,89,brak martwych
14,128,241,1948,brak genomu,89,brak martwych
15,124,248,1941,brak genomu,91,brak martwych
16,124,257,1931,brak genomu,91,brak martwych
17,124,262,1921,brak genomu,93,brak martwych
18,133,269,1919,brak genomu,90,brak martwych
